# /joint_state/header/stamp, /joint_state/velocity/0, /pid_left_state/header/stamp, /pid_left_state/error, /pid_left_state/header/stamp, /pid_left_state/output
1600367229.5783751011, 0, 1600367229.5663750172, 0, 1600367229.5663750172, 0
1600367229.609375, 0, 1600367229.5973749161, 0, 1600367229.5973749161, 0
1600367229.6403748989, 0, 1600367229.6283750534, 0, 1600367229.6283750534, 0
1600367229.6713750362, 0, 1600367229.6593749523, 0, 1600367229.6593749523, 0
1600367229.7023749352, 0, 1600367229.6903750896, 0, 1600367229.6903750896, 0
1600367229.7663750648, 0, 1600367229.7213749886, 0, 1600367229.7213749886, 0
1600367229.7973749638, 0, 1600367229.7863750458, 0, 1600367229.7863750458, 0
1600367229.8283751011, 0, 1600367229.8173749447, 0, 1600367229.8173749447, 0
1600367229.859375, 0, 1600367229.848375082, 0, 1600367229.848375082, 0
1600367229.8903748989, 0, 1600367229.8793749809, 0, 1600367229.8793749809, 0
1600367229.9213750362, 0, 1600367229.9103748798, 0, 1600367229.9103748798, 0
1600367229.9533751011, 0, 1600367229.9413750172, 0, 1600367229.9413750172, 0
1600367229.984375, 0, 1600367229.9723749161, 0, 1600367229.9723749161, 0
1600367230.0153748989, 0, 1600367230.0033750534, 0, 1600367230.0033750534, 0
1600367230.0463750362, 0, 1600367230.0343749523, 0, 1600367230.0343749523, 0
1600367230.0773749352, 0, 1600367230.0653750896, 0, 1600367230.0653750896, 0
1600367230.1083750725, 0, 1600367230.0963749886, 0, 1600367230.0963749886, 0
1600367230.1393749714, 0, 1600367230.1273748875, 0, 1600367230.1273748875, 0
1600367230.1703748703, 0, 1600367230.1583750248, 0, 1600367230.1583750248, 0
1600367230.2013750076, 0, 1600367230.1893749237, 0, 1600367230.1893749237, 0
1600367230.2323749065, 0, 1600367230.220375061, 0, 1600367230.220375061, 0
1600367230.2633750439, 0, 1600367230.2513749599, 0, 1600367230.2513749599, 0
1600367230.2943749428, 0, 1600367230.2823750973, 0, 1600367230.2823750973, 0
1600367230.3253750801, 0, 1600367230.3133749962, 0, 1600367230.3133749962, 0
1600367230.356374979, 0, 1600367230.3443748951, 0, 1600367230.3443748951, 0
1600367230.3873748779, 0, 1600367230.3753750324, 0, 1600367230.3753750324, 0
1600367230.4193749428, 0, 1600367230.4063749313, 0, 1600367230.4063749313, 0
1600367230.4502389431, 0, 1600367230.4393749237, 0, 1600367230.4393749237, 0
1600367230.4852390289, 0, 1600367230.4702391624, 0, 1600367230.4702391624, 0
1600367230.5162389278, 0, 1600367230.5042390823, 0, 1600367230.5042390823, 0
1600367230.5472390652, 0, 1600367230.5352389812, 0, 1600367230.5352389812, 0
1600367230.5782389641, 0, 1600367230.5662391186, 0, 1600367230.5662391186, 0
1600367230.6092391014, 0, 1600367230.5972390175, 0, 1600367230.5972390175, 0
1600367230.6402390003, 0, 1600367230.6282391548, 0, 1600367230.6282391548, 0
1600367230.6712391376, 0, 1600367230.6592390537, 0, 1600367230.6592390537, 0
1600367230.7022390366, 0, 1600367230.6902389526, 0, 1600367230.6902389526, 0
1600367230.7332389355, 0, 1600367230.72123909, 0, 1600367230.72123909, 0
1600367230.7642390728, 0, 1600367230.7522389889, 0, 1600367230.7522389889, 0
1600367230.7952389717, 0, 1600367230.7832391262, 0, 1600367230.7832391262, 0
1600367230.826239109, 0, 1600367230.8142390251, 0, 1600367230.8142390251, 0
1600367230.8572390079, 0, 1600367230.8452391624, 0, 1600367230.8452391624, 0
1600367230.8882391453, 0, 1600367230.8762390614, 0, 1600367230.8762390614, 0
1600367230.9192390442, 0, 1600367230.9072389603, 0, 1600367230.9072389603, 0
1600367230.9502389431, 0, 1600367230.9382390976, 0, 1600367230.9382390976, 0
